Index,TimeStamp (s),Fe (g),La (g),Ce (g),Th (g),Nd (g),Pr (g)
19397,23.0436,,,2.065E-15,,,
19520,23.1898,,,2.970E-17,,,
19756,23.4701,,,2.009E-16,,,
19759,23.4737,,,2.066E-16,,,
20003,23.7636,,,5.423E-17,,,
20029,23.7945,,,7.042E-15,,,
20259,24.0677,,3.104E-16,6.775E-16,,,
20604,24.4776,,,7.426E-16,,,
20822,24.7365,,2.219E-16,5.268E-16,,1.978E-16,5.766E-17
21081,25.0442,,,2.970E-17,,,
21099,25.0656,,3.388E-17,1.831E-16,,,
21183,25.1654,,6.427E-16,1.103E-15,,7.312E-16,1.102E-16
21201,25.1868,,,6.661E-17,,,
21236,25.2284,,,3.922E-17,,,
21246,25.2402,,4.776E-17,1.463E-16,,4.540E-17,
21254,25.2498,,,3.262E-17,,,
21383,25.4030,,2.177E-16,4.642E-16,,,
21517,25.5622,,5.009E-17,7.527E-17,,,
21642,25.7107,,,1.312E-16,,,
22051,26.1966,,,4.844E-17,,,
22061,26.2085,,1.032E-16,2.124E-16,,,
22139,26.3011,,,5.225E-17,,,
22191,26.3629,,2.860E-16,6.835E-16,,3.730E-16,7.060E-17
22219,26.3962,,,4.940E-17,,4.373E-17,
22485,26.7122,,5.555E-17,3.296E-16,,,
22837,27.1304,,1.219E-16,2.519E-16,,7.760E-17,
23007,27.3323,,,5.989E-17,,,
23192,27.5521,,,5.910E-16,,,
23293,27.6721,,,2.285E-16,,,
23393,27.7909,,6.460E-17,7.556E-17,,,
23650,28.0962,,4.768E-17,1.237E-16,,,
23989,28.4989,,,3.409E-17,,,
24214,28.7662,,,3.570E-17,,,
24592,29.2153,,1.947E-16,5.429E-16,,,
24690,29.3317,,2.675E-16,6.429E-16,,,
24725,29.3733,,,3.071E-17,,,
25085,29.8010,,6.799E-17,7.278E-17,,,
25182,29.9162,,7.398E-16,1.441E-15,,7.251E-16,1.785E-16
25405,30.1811,,5.842E-17,4.017E-16,,,
25620,30.4366,,,4.390E-16,,,
26094,30.9997,,5.304E-17,8.410E-17,,,
26163,31.0816,,,2.837E-17,,,
26424,31.3917,,3.363E-17,5.472E-17,,,
26706,31.7267,,4.488E-16,6.859E-16,,3.305E-16,9.761E-17
26728,31.7529,,4.889E-17,8.494E-17,,,
26807,31.8467,,9.811E-17,2.277E-16,,1.162E-16,4.098E-17
26817,31.8586,,3.459E-17,8.208E-17,,,
26963,32.0320,,3.591E-16,5.746E-16,,,
27008,32.0855,,4.640E-17,9.123E-17,,,
