Index,TimeStamp (s),Fe (g),La (g),Ce (g),Th (g),Nd (g),Pr (g)
19412,23.0615,,3.134E-17,8.873E-17,,,
19801,23.5236,,,7.528E-16,,4.309E-16,
19802,23.5248,,3.663E-16,,,,9.736E-17
19830,23.5580,,1.182E-16,2.694E-16,,1.397E-16,5.655E-17
20138,23.9239,,3.829E-16,6.972E-16,,5.125E-16,8.460E-17
20140,23.9263,,,3.391E-17,,,
20437,24.2792,,4.735E-16,9.594E-16,,5.402E-16,1.057E-16
20664,24.5488,,,8.443E-16,,,
20791,24.6997,,,2.821E-17,,,
20803,24.7140,,,4.115E-16,,,
20920,24.8530,,,1.253E-15,,,
21068,25.0288,,2.307E-17,,,,
21413,25.4386,,,3.296E-16,,,
21522,25.5681,,9.335E-17,1.583E-16,,9.654E-17,1.519E-17
22013,26.1514,,2.241E-17,,,,
23201,27.5628,,4.051E-17,1.195E-16,,4.771E-17,
23674,28.1247,,4.027E-17,6.071E-17,,,
23931,28.4300,,1.583E-16,3.649E-16,,,
24136,28.6736,,,,,3.948E-17,
24286,28.8518,,5.983E-17,1.690E-16,,6.288E-17,
24462,29.0609,,,4.710E-17,,,
24571,29.1903,,,3.068E-16,,,
25368,30.1372,,,9.043E-16,,,
25507,30.3023,,,1.119E-16,,,
25620,30.4366,,4.559E-17,1.436E-16,,6.591E-17,
26484,31.4630,,,3.270E-17,,4.147E-17,
26505,31.4879,,,2.158E-16,,,
26719,31.7422,,3.535E-16,7.869E-16,,3.259E-16,6.091E-17
26825,31.8681,,,4.364E-16,,,
26984,32.0570,,,3.370E-17,,,
27391,32.5405,,,2.105E-15,,,
27956,33.2117,,2.560E-17,2.573E-17,,,
28392,33.7297,,,9.658E-17,,,
28787,34.1990,,,5.850E-16,,,
29483,35.0258,,,1.341E-16,,,
29553,35.1090,,,4.727E-16,,,
29845,35.4559,,,,,,
30091,35.7481,,,1.701E-15,,,
30311,36.0095,,7.384E-17,1.613E-16,,,
30986,36.8114,,,4.263E-17,,,
31442,37.3531,,,4.508E-16,,,
32068,38.0968,,5.955E-17,1.657E-16,,,
32982,39.1826,,,3.652E-16,,,
33046,39.2586,,,2.384E-16,,,
33118,39.3442,,,3.047E-16,,,
33229,39.4761,,,2.478E-17,,,
33419,39.7018,,,1.233E-16,,,
33556,39.8645,,8.658E-17,1.381E-16,,1.028E-16,
34449,40.9254,,8.865E-16,1.855E-15,,9.637E-16,1.898E-16
34555,41.0513,,3.593E-17,8.906E-17,,5.541E-17,
35834,42.5708,,3.437E-16,5.863E-16,,4.085E-16,4.769E-17
35993,42.7597,,6.116E-17,1.060E-16,,6.479E-17,
36504,43.3668,,,3.620E-16,,,
36680,43.5758,,,2.558E-16,,,
38534,45.7784,,,2.938E-16,,,
38559,45.8081,,,6.494E-17,,,
38718,45.9970,,1.173E-16,1.787E-16,,,
38777,46.0671,,3.393E-16,6.320E-16,,3.435E-16,1.456E-16
