Index,TimeStamp (s),Fe (g),La (g),Ce (g),Th (g),Nd (g),Pr (g)
19337,22.9724,,1.108E-16,2.591E-16,,,
19379,23.0223,,,1.461E-16,,,
19405,23.0531,,9.118E-17,4.224E-16,,,
19478,23.1399,,,5.751E-17,,,
19550,23.2254,,,5.202E-17,,,
19567,23.2456,,,4.911E-17,,,
19584,23.2658,,2.862E-16,2.679E-16,,,
19602,23.2872,,5.961E-17,7.698E-17,,,
19766,23.4820,,,9.228E-17,,,
19877,23.6139,,,8.252E-17,,,
19924,23.6697,,2.437E-16,5.026E-16,,,
20108,23.8883,,1.464E-16,2.465E-16,,,
20537,24.3980,,1.574E-16,2.490E-16,,,
20540,24.4015,,1.724E-16,3.506E-16,,1.626E-16,2.642E-17
20736,24.6344,,5.228E-17,7.471E-17,,,
20806,24.7175,,,4.442E-17,,,
20873,24.7971,,4.887E-16,1.724E-15,,,
20944,24.8815,,2.372E-15,5.131E-15,,,
21059,25.0181,,,2.047E-16,,,
21068,25.0288,,7.729E-17,1.130E-16,,,
21106,25.0739,,,2.378E-16,,,
21264,25.2616,,6.597E-17,2.649E-16,,,
21322,25.3305,,4.118E-16,9.186E-16,,,
21382,25.4018,,9.103E-17,6.088E-16,,,
21397,25.4196,,,5.764E-17,,,
21402,25.4256,,,9.776E-17,,,
21544,25.5943,,,5.227E-17,,,
21548,25.5990,,1.130E-15,2.044E-15,,7.935E-16,2.078E-16
21564,25.6180,,6.764E-17,1.359E-16,,,
21601,25.6620,,5.112E-17,2.158E-16,,,
21678,25.7535,,9.659E-17,2.219E-16,,,
21736,25.8224,,5.341E-17,,,,
21745,25.8331,,1.051E-16,2.090E-16,,,
21931,26.0540,,3.839E-16,1.105E-15,,,
21949,26.0754,,6.255E-17,2.011E-16,,,
21989,26.1229,,,9.039E-17,,,
22017,26.1562,,2.864E-16,7.682E-16,,,
22044,26.1883,,,4.992E-17,,,
22094,26.2477,,,1.021E-16,,,
22099,26.2536,,,1.717E-16,,,
22111,26.2679,,,5.302E-17,,,
22255,26.4389,,1.512E-16,1.869E-16,,,
22285,26.4746,,8.020E-17,3.085E-16,,,
22362,26.5661,,2.084E-16,3.851E-16,,,
22385,26.5934,,1.105E-16,1.725E-16,,,
22429,26.6457,,2.624E-16,2.563E-16,,,
22522,26.7561,,7.227E-17,1.435E-16,,,
22623,26.8761,,1.883E-16,4.050E-16,,,
22643,26.8999,,,6.719E-17,,,
22671,26.9331,,1.065E-16,1.634E-16,,,
22743,27.0187,,2.152E-16,4.252E-16,,,
22760,27.0389,,1.114E-15,2.062E-15,,4.286E-17,
22832,27.1244,,5.863E-17,2.031E-16,,,
22848,27.1434,,,1.025E-16,,,
22911,27.2183,,,4.516E-17,,,
22942,27.2551,,6.370E-16,1.289E-15,,5.141E-16,1.416E-16
23316,27.6994,,3.922E-16,8.054E-16,,2.703E-16,6.879E-17
23472,27.8847,,,1.079E-16,,,
23586,28.0202,,,1.447E-16,,,
23644,28.0891,,,8.352E-17,,,
23660,28.1081,,,1.048E-16,,,
23674,28.1247,,,7.935E-17,,,
23717,28.1758,,1.165E-15,2.126E-15,,1.084E-15,2.781E-16
23733,28.1948,,9.715E-17,1.294E-16,,,
23792,28.2649,,,6.215E-17,,,
23855,28.3397,,7.992E-16,1.737E-15,1.580E-17,7.860E-16,2.275E-16
23921,28.4181,,,4.941E-17,,,
23952,28.4550,,,1.414E-16,,,
24076,28.6023,,1.124E-16,1.579E-16,,,
24186,28.7330,,,1.666E-16,,,
24271,28.8339,,,1.270E-16,,,
24296,28.8636,,6.025E-17,5.605E-17,,,
24401,28.9884,,,7.364E-17,,,
24477,29.0787,,7.605E-17,2.431E-16,,,
24509,29.1167,,1.940E-15,2.889E-15,,,
24606,29.2319,,,4.931E-17,,,
24816,29.4814,,5.348E-17,5.438E-17,,,
24845,29.5159,,,6.623E-17,,,
24922,29.6073,,3.090E-16,5.576E-16,,,
24939,29.6275,,2.184E-16,,,4.460E-17,
24941,29.6299,,2.634E-16,1.260E-15,,,
24962,29.6549,,,2.232E-16,,,
25100,29.8188,,,4.406E-17,,,
25203,29.9412,,8.071E-17,1.925E-16,,,
25212,29.9519,,,1.438E-16,,,
25302,30.0588,,1.303E-16,4.011E-16,,,
25325,30.0861,,1.205E-16,1.062E-16,,,
25423,30.2025,,,5.987E-17,,,1.985E-17
25442,30.2251,,,1.341E-16,,,
25591,30.4021,,,4.659E-17,,,
25904,30.7740,,,1.107E-16,,,
25989,30.8749,,,1.290E-16,,,
26062,30.9617,,,4.394E-16,,,
26093,30.9985,,8.732E-17,1.265E-16,,,
26290,31.2325,,,4.835E-16,,,
26303,31.2480,,,7.416E-17,,,
26421,31.3881,,5.603E-17,2.884E-16,,,
26504,31.4868,,5.894E-17,1.279E-16,,,
26510,31.4939,,,5.888E-17,,,
26574,31.5699,,1.046E-16,1.765E-16,,,
26584,31.5818,,1.578E-15,3.334E-15,,,
26725,31.7493,,,4.727E-17,,,
26877,31.9299,,3.133E-16,2.980E-16,,,
26993,32.0677,,1.178E-16,1.117E-16,,,
27134,32.2352,,,5.257E-17,,,
27138,32.2399,,,9.570E-17,,,
27189,32.3005,,,7.542E-17,,,
27837,33.0704,,8.787E-17,1.606E-16,,,
27866,33.1048,,1.100E-15,1.645E-15,,,
27920,33.1690,,,6.534E-17,,,
27936,33.1880,,,7.562E-17,,,
28012,33.2783,,,1.393E-16,,,
28013,33.2794,,,,,7.095E-17,
28060,33.3353,,8.394E-17,7.219E-17,,,
28133,33.4220,,,1.186E-16,,,
28281,33.5978,,,6.389E-17,,,
28463,33.8140,,2.108E-15,3.116E-15,,,
28614,33.9934,,,1.573E-16,,,
28666,34.0552,,5.039E-16,1.372E-16,,,
28727,34.1277,,,6.752E-17,,,
28800,34.2144,,,5.122E-17,,,
28829,34.2489,,,5.976E-17,,4.000E-17,1.612E-17
29029,34.4865,,7.117E-16,1.069E-15,,,
29039,34.4983,,1.537E-16,3.253E-16,,,
29071,34.5363,,,2.782E-16,,,
29223,34.7169,,,4.519E-17,,,
29332,34.8464,,,2.151E-16,,,
29433,34.9664,,2.414E-16,3.747E-16,,,
29490,35.0341,,,5.159E-17,,,
29517,35.0662,,,1.886E-16,,,
29726,35.3145,,,1.496E-16,,,
29755,35.3489,,2.557E-16,2.670E-16,,,
29938,35.5663,,1.118E-16,1.837E-16,,,
30042,35.6899,,5.864E-17,9.967E-17,,,
30149,35.8170,,4.030E-16,8.258E-16,,,
30192,35.8681,,3.067E-16,5.652E-16,,,
30457,36.1829,,6.109E-17,1.756E-16,,,
30488,36.2197,,6.091E-17,,,,
30816,36.6094,,,5.530E-17,,,
30909,36.7199,,9.621E-17,1.943E-16,,1.315E-16,4.348E-17
31001,36.8292,,1.877E-16,2.474E-16,,,
31027,36.8601,,,1.635E-16,,,
31148,37.0038,,,5.181E-17,,,
31233,37.1048,,9.633E-17,1.696E-16,,,
31244,37.1179,,,5.347E-17,,,
31294,37.1773,,,9.622E-17,,,
31358,37.2533,,4.142E-16,1.029E-15,,,
31500,37.4220,,,4.913E-17,,,
31591,37.5301,,9.003E-17,8.430E-17,,,
31716,37.6786,,7.415E-17,1.508E-16,,7.555E-17,
31746,37.7142,,5.015E-16,5.841E-16,,,
31910,37.9091,,,5.631E-17,,,
32256,38.3201,,,6.419E-17,,,
32368,38.4532,,,7.074E-17,,,
32416,38.5102,,7.727E-17,2.226E-16,,,
32418,38.5126,,,1.214E-16,,,
32450,38.5506,,,6.295E-17,,,
32568,38.6908,,,8.589E-17,,,
32579,38.7039,,,1.379E-16,,,
32726,38.8785,,1.309E-16,2.555E-16,,,
32935,39.1268,,,6.103E-17,,,
33024,39.2325,,,4.578E-17,,,
33037,39.2480,,5.414E-16,1.052E-15,,,
33047,39.2598,,,7.368E-16,,,
33162,39.3965,,,8.789E-17,,,
33228,39.4749,,,5.551E-17,,,
33253,39.5046,,5.520E-16,1.114E-15,,,
33269,39.5236,,,1.937E-16,,,
33401,39.6804,,,7.181E-17,,,
33411,39.6923,,9.857E-17,1.945E-16,,,
33490,39.7861,,,6.872E-17,,,
33560,39.8693,,,9.509E-17,,,
33691,40.0249,,2.017E-16,4.869E-16,,1.673E-16,6.180E-17
33754,40.0998,,2.721E-16,3.723E-16,,,
33945,40.3267,,8.023E-17,9.764E-17,,,
34129,40.5453,,,9.938E-17,,,
34442,40.9171,,1.338E-16,3.427E-16,,1.924E-16,5.890E-17
34455,40.9325,,1.251E-16,2.384E-16,,,
34644,41.1571,,8.329E-17,2.744E-16,,,
34759,41.2937,,5.061E-16,1.102E-15,,5.962E-16,1.024E-16
34802,41.3448,,,5.476E-17,,,
34942,41.5111,,2.253E-16,4.145E-16,,,
34975,41.5503,,1.158E-16,7.264E-16,,,
34979,41.5551,,6.453E-17,1.858E-16,,,
35033,41.6192,,,4.591E-17,,,
35347,41.9922,,,9.690E-17,,,
35486,42.1574,,,3.945E-16,,,
