Index,TimeStamp (s),Fe (g),La (g),Ce (g),Th (g),Nd (g),Pr (g)
19214,22.8262,,2.822E-17,9.651E-17,,,
19218,22.8310,,,8.235E-16,,,
19409,23.0579,,4.525E-17,1.388E-16,,,
20789,24.6973,,,1.036E-16,,,
20947,24.8850,,4.036E-17,3.825E-17,,,
21155,25.1321,,,5.066E-17,,,
21938,26.0623,,3.813E-17,1.052E-16,,,2.931E-17
22000,26.1360,,,2.526E-16,,,
22639,26.8951,,4.382E-17,9.802E-17,,3.946E-17,
22863,27.1612,,5.137E-17,9.083E-17,,4.210E-17,2.034E-17
22912,27.2195,,,7.730E-16,,,
23806,28.2815,,,6.799E-17,,,
24399,28.9860,,,9.896E-17,,,
24679,29.3187,,,8.563E-17,,4.967E-17,
24757,29.4113,,1.011E-16,1.097E-16,,,
24916,29.6002,,,3.796E-16,,,
25655,30.4781,,7.323E-17,1.171E-16,,,
26169,31.0888,,,3.101E-17,,,
26383,31.3430,,,1.899E-17,,,
26513,31.4974,,,1.947E-17,,,
27034,32.1164,,3.969E-17,6.471E-17,,3.840E-17,
27122,32.2209,,,4.723E-17,,,
27678,32.8815,,1.234E-16,3.430E-16,,,
27829,33.0609,,6.557E-16,1.348E-15,,6.920E-16,1.848E-16
27857,33.0941,,1.217E-16,3.085E-16,,,
28559,33.9281,,1.373E-16,2.330E-16,,1.785E-16,3.825E-17
30449,36.1734,,,2.198E-17,,,
30535,36.2756,,,1.217E-16,,,
30751,36.5322,,,2.423E-17,,,
31039,36.8743,,2.566E-17,5.445E-17,,,
31101,36.9480,,2.344E-17,2.582E-17,,,
31237,37.1096,,,2.711E-17,,,
31331,37.2212,,4.320E-16,7.079E-16,,3.365E-16,5.701E-17
31438,37.3483,,3.280E-16,3.485E-16,,,
32120,38.1586,,,2.048E-17,,,
32158,38.2037,,2.583E-17,1.091E-16,,,
32191,38.2429,,1.981E-16,4.982E-16,,,
32374,38.4603,,,3.313E-17,,,
32572,38.6955,,7.474E-16,1.942E-15,,,
32594,38.7217,,,5.829E-16,,,
33054,39.2682,,,3.042E-17,,,
33345,39.6139,,,9.658E-17,,,
34074,40.4799,,,5.794E-17,,,
34540,41.0335,,,3.252E-17,,,
34793,41.3341,,3.967E-17,7.648E-17,,,
34848,41.3994,,1.973E-17,2.691E-16,,,
35071,41.6643,,,5.854E-17,,,
35312,41.9507,,2.556E-17,3.053E-17,,,
35362,42.0101,,,4.390E-17,,,
35859,42.6005,,,4.431E-17,,,
36062,42.8417,,,1.072E-16,,,
36271,43.0899,,3.069E-17,9.442E-17,,,1.468E-17
36634,43.5212,,3.776E-17,8.281E-17,,,
36709,43.6103,,,1.890E-17,,,
36806,43.7255,,,2.315E-17,,,
37798,44.9040,,,1.941E-17,,,
37855,44.9717,,3.537E-16,4.033E-16,,,
38173,45.3495,,,5.219E-17,,,
38458,45.6881,,,1.190E-15,,,
38524,45.7665,,1.565E-16,2.410E-16,,1.408E-16,3.558E-17
38553,45.8010,,1.032E-16,2.751E-16,,7.899E-17,2.441E-17
38620,45.8806,,2.836E-16,5.063E-16,,2.712E-16,4.862E-17
38695,45.9697,,,7.198E-16,,,
38771,46.0599,,4.825E-17,9.403E-17,,7.124E-17,
39342,46.7383,,,3.168E-17,,,
39473,46.8939,,4.811E-16,9.813E-16,,,
39550,46.9854,,,1.686E-17,,,
39562,46.9997,,,2.332E-15,,,
40183,47.7374,,3.606E-17,1.415E-16,,,
40493,48.1057,,6.576E-17,9.351E-17,,,
40626,48.2637,,1.088E-16,2.915E-16,,1.558E-16,3.319E-17
40684,48.3326,,1.428E-16,2.032E-16,,7.643E-17,2.155E-17
40750,48.4110,,1.189E-16,2.417E-16,,1.386E-16,4.413E-17
40768,48.4324,,8.476E-17,1.663E-16,,7.489E-17,2.722E-17
41109,48.8375,,5.191E-17,7.313E-17,,,
41166,48.9052,,3.326E-17,5.944E-17,,,
41239,48.9919,,,2.799E-17,,,
41923,49.8045,,,3.106E-17,,,
41958,49.8461,,8.732E-17,1.609E-16,,7.383E-17,2.019E-17
42464,50.4472,,,4.289E-17,,,
42669,50.6908,,1.425E-16,3.229E-16,,1.076E-16,5.575E-17
42699,50.7264,,,4.610E-17,,,
42711,50.7407,,,8.640E-16,,,
42816,50.8654,,2.427E-16,4.194E-16,,2.285E-16,2.852E-17
42918,50.9866,,2.228E-17,,,,
42981,51.0614,,,4.835E-16,,,
43132,51.2408,,,2.462E-16,,,
43295,51.4345,,,1.002E-15,,,
43370,51.5236,,,,,4.365E-17,
43617,51.8170,,,3.016E-17,,,
43760,51.9869,,6.199E-17,1.290E-16,,,
43846,52.0890,,,2.586E-16,,,
44226,52.5405,,2.538E-17,5.180E-17,,,
44267,52.5892,,8.713E-17,8.205E-17,,,
44515,52.8838,,,1.981E-17,,,
44574,52.9539,,1.086E-15,1.281E-15,,,
44787,53.2070,,1.991E-17,5.988E-17,,,
45010,53.4719,,1.291E-15,2.071E-15,,,
45576,54.1443,,6.945E-17,1.551E-16,,,
45739,54.3379,,4.282E-17,3.260E-17,,,
45936,54.5720,,2.633E-17,3.361E-17,,,
46894,55.7101,,,1.920E-16,,,
47020,55.8598,,2.900E-17,5.876E-17,,,
47812,56.8007,,,1.568E-16,,,
48214,57.2782,,1.079E-15,2.074E-15,1.874E-17,9.506E-16,2.363E-16
48361,57.4529,,,8.512E-17,,,
48441,57.5479,,,1.136E-16,,,
48868,58.0552,,,2.486E-17,,,
49173,58.4175,,,5.540E-17,,,
49200,58.4496,,,4.844E-17,,,
49715,59.0614,,,4.666E-16,,,
49970,59.3644,,,2.513E-15,,,
50048,59.4570,,,4.540E-16,,,
50435,59.9168,,4.662E-17,7.850E-17,,,
50471,59.9595,,,4.556E-15,,,
50923,60.4965,,2.100E-17,4.629E-17,,,
51019,60.6106,,1.413E-16,3.051E-16,,1.629E-16,5.554E-17
51058,60.6569,,1.159E-15,2.190E-15,,,
51157,60.7745,,,6.811E-16,,,
51487,61.1666,,,4.188E-17,,,
51493,61.1737,,3.811E-17,6.164E-17,,,
51682,61.3982,,,3.392E-16,,,
51723,61.4469,,4.145E-17,3.025E-17,,,
51727,61.4517,,,1.731E-17,,,
51813,61.5538,,,2.666E-16,,,
52429,62.2857,,,3.129E-17,,,
52663,62.5636,,,8.572E-17,,,
52952,62.9070,,2.808E-17,5.124E-17,,,
52958,62.9141,,,7.092E-16,,,
53226,63.2325,,,8.324E-16,,,
53241,63.2503,,8.310E-17,2.014E-16,,4.900E-17,3.013E-17
53368,63.4012,,2.468E-17,6.209E-17,,,
53453,63.5022,,8.803E-17,1.340E-16,,,
53576,63.6483,,1.135E-16,1.403E-16,,1.201E-16,1.538E-17
53625,63.7065,,,6.508E-17,,,
53912,64.0475,,3.511E-17,7.618E-17,,,
54148,64.3278,,,6.796E-16,,,
54364,64.5844,,,2.376E-17,,,
54461,64.6997,,5.386E-16,9.830E-16,,5.039E-16,1.006E-16
