Index,TimeStamp (s),Fe (g),La (g),Ce (g),Th (g),Nd (g),Pr (g)
19682,23.3822,,2.912E-16,5.844E-16,,3.073E-16,8.486E-17
20084,23.8598,,2.362E-16,4.808E-16,,2.845E-16,7.899E-17
20519,24.3766,,,1.263E-16,,,
20581,24.4502,,5.657E-17,1.547E-16,,6.669E-17,2.129E-17
20713,24.6070,,,1.431E-16,,,
21143,25.1179,,,5.556E-17,,,
21389,25.4101,,,4.498E-16,,,
21934,26.0576,,2.423E-17,9.191E-17,,,
22129,26.2893,,6.853E-17,1.089E-16,,4.584E-17,
22186,26.3570,,,7.562E-16,,,
22232,26.4116,,,3.843E-17,,,
23942,28.4431,,1.149E-16,1.861E-16,,8.006E-17,2.981E-17
24565,29.1832,,2.140E-17,2.704E-17,,,
24918,29.6026,,3.267E-17,5.776E-17,,,
25126,29.8497,,1.234E-15,2.410E-15,,1.467E-15,3.588E-16
25130,29.8544,,1.668E-16,2.574E-16,,1.314E-16,3.746E-17
25468,30.2560,,,4.242E-16,,,
25991,30.8773,,,1.654E-15,,,
26503,31.4856,,,2.345E-17,,,
26791,31.8277,,2.618E-17,4.429E-17,,,
27748,32.9646,,3.401E-17,1.060E-16,,5.172E-17,
27799,33.0252,,7.628E-16,1.306E-15,1.374E-17,5.359E-16,2.032E-16
27902,33.1476,,,3.388E-17,,,
27935,33.1868,,,5.376E-16,,,
28050,33.3234,,,8.225E-17,,,
29056,34.5185,,,2.956E-16,,,
29072,34.5375,,,7.760E-17,,,
29164,34.6468,,,1.372E-16,,,
29434,34.9676,,2.603E-17,9.053E-17,,6.416E-17,
29664,35.2408,,1.352E-15,2.656E-15,1.461E-17,1.296E-15,3.568E-16
30598,36.3504,,,1.170E-15,,,
31603,37.5444,,,5.659E-16,,,
32366,38.4508,,,1.932E-16,,,
32445,38.5447,,,3.553E-17,,,
32544,38.6623,,3.624E-17,7.217E-17,,,
33865,40.2316,,,1.945E-16,,,
34157,40.5785,,,7.714E-16,,,
35353,41.9994,,,1.270E-16,,,
35488,42.1597,,,6.469E-16,,,
35584,42.2738,,3.382E-16,7.840E-16,,4.738E-16,1.133E-16
35622,42.3189,,,1.065E-16,,,
36238,43.0507,,3.220E-16,5.530E-16,,3.485E-16,8.887E-17
36292,43.1149,,,7.846E-17,,4.107E-17,
36894,43.8301,,,1.963E-15,,,
38071,45.2283,,,5.974E-17,,,
38464,45.6952,,3.015E-17,,,,
38465,45.6964,,,5.667E-17,,,
38704,45.9804,,,1.829E-16,,,
39456,46.8737,,,6.515E-16,,,
39463,46.8820,,1.323E-16,2.472E-16,,7.644E-17,2.427E-17
40126,47.6697,,2.587E-17,7.642E-17,,,
40382,47.9738,,9.632E-17,3.137E-16,,1.898E-16,
42587,50.5934,,1.860E-16,4.759E-16,,1.453E-16,4.832E-17
42951,51.0258,,6.994E-17,1.076E-16,,6.191E-17,
43303,51.4440,,2.162E-17,5.882E-17,,,
43861,52.1069,,,2.436E-16,,,
44334,52.6688,,,4.818E-17,,,1.629E-17
44368,52.7092,,,2.980E-17,,,
44623,53.0121,,,4.369E-16,,,
45338,53.8615,,2.089E-17,2.543E-17,,,
45893,54.5209,,1.372E-16,2.003E-16,,1.050E-16,2.691E-17
46138,54.8119,,,6.373E-16,,,
46597,55.3572,,3.370E-17,1.269E-16,,7.030E-17,
46809,55.6091,,,1.156E-15,,,
46910,55.7291,,1.247E-16,1.383E-16,,1.330E-16,2.820E-17
46927,55.7493,,1.233E-15,2.340E-15,1.631E-17,1.023E-15,2.690E-16
47018,55.8574,,1.086E-16,1.997E-16,,6.528E-17,3.981E-17
47433,56.3504,,,2.156E-17,,,
47800,56.7864,,5.328E-16,1.132E-15,,6.659E-16,1.720E-16
47968,56.9860,,4.674E-16,7.405E-16,,3.992E-16,1.156E-16
48007,57.0323,,,2.478E-17,,,
48354,57.4446,,,4.813E-17,,,
48723,57.8829,,5.629E-16,1.065E-15,,6.931E-16,1.251E-16
48853,58.0374,,8.484E-17,2.269E-16,,6.742E-17,3.852E-17
49071,58.2963,,,4.795E-16,,,
49926,59.3121,,7.016E-17,1.280E-16,,6.539E-17,1.582E-17
50019,59.4226,,9.426E-17,1.552E-16,,,
50981,60.5654,,,3.810E-17,,,
51199,60.8244,,6.343E-17,1.012E-16,,,
51200,60.8256,,,,,1.070E-16,1.997E-17
51413,61.0786,,1.232E-16,1.996E-16,,1.011E-16,3.025E-17
51457,61.1309,,3.361E-17,3.216E-17,,,
51777,61.5111,,,5.497E-16,,,
51841,61.5871,,,7.741E-16,,,
52314,62.1490,,,6.287E-17,,,
52372,62.2179,,5.647E-17,1.141E-16,,,1.762E-17
52637,62.5328,,2.841E-17,,,,
53022,62.9901,,4.707E-17,1.022E-16,,4.340E-17,1.949E-17
53947,64.0890,,,1.094E-15,,,
53978,64.1259,,,1.438E-16,,,
54084,64.2518,,,7.915E-17,,,
54085,64.2530,,4.570E-17,,,4.893E-17,
55281,65.6738,,2.231E-16,4.084E-16,,2.408E-16,6.393E-17
55508,65.9435,,,2.349E-16,,,
55520,65.9578,,,7.641E-16,,,
57276,68.0439,,2.020E-17,9.223E-17,,,
57634,68.4692,,2.902E-16,5.934E-16,1.360E-17,2.898E-16,1.095E-16
57889,68.7721,,9.993E-17,2.353E-16,,7.783E-17,2.522E-17
57958,68.8541,,5.836E-17,1.472E-16,,,
57963,68.8600,,1.044E-16,1.888E-16,,8.867E-17,1.903E-17
58032,68.9420,,,4.619E-16,,,
58210,69.1535,,8.163E-17,1.383E-16,,5.503E-17,2.258E-17
59282,70.4270,,2.753E-16,4.853E-16,,2.516E-16,7.860E-17
59881,71.1386,,,1.160E-16,,,
60171,71.4831,,,1.360E-16,,,
60227,71.5497,,6.113E-17,1.302E-16,,9.246E-17,
60522,71.9001,,3.950E-17,1.030E-16,,4.803E-17,2.593E-17
60716,72.1306,,3.345E-17,6.063E-17,,4.773E-17,
60930,72.3848,,,2.666E-16,,,
61211,72.7187,,,3.218E-16,,,
61609,73.1915,,,2.945E-16,,,
61628,73.2141,,2.065E-17,2.739E-17,,,
62015,73.6738,,2.226E-17,2.727E-17,,,
62056,73.7225,,,3.882E-17,,,
62427,74.1633,,1.170E-16,2.528E-16,,1.379E-16,4.729E-17
62655,74.4341,,2.103E-17,,,,
63099,74.9616,,3.653E-17,,,,
63505,75.4439,,6.254E-17,1.492E-16,,,
63634,75.5972,,,4.417E-16,,,
63709,75.6863,,4.521E-17,1.289E-16,,,
63973,75.9999,,4.478E-17,9.568E-17,,4.416E-17,1.931E-17
64120,76.1746,,4.971E-17,1.484E-16,,7.618E-17,
64340,76.4359,,,,1.455E-17,,
64341,76.4371,,7.081E-16,1.424E-15,,6.341E-16,2.105E-16
64487,76.6106,,2.616E-16,4.792E-16,,2.218E-16,6.085E-17
66153,78.5898,,5.178E-17,1.077E-16,,,
66351,78.8250,,,2.791E-17,,,
66804,79.3632,,,5.462E-17,,,
66982,79.5746,,4.985E-17,9.715E-17,,5.768E-17,1.546E-17
67264,79.9096,,,,,4.338E-17,
68563,81.4528,,,2.833E-17,,,
68864,81.8104,,2.308E-17,2.184E-17,,,
69535,82.6076,,2.661E-17,,,,
69659,82.7549,,6.155E-16,1.323E-15,2.339E-17,6.479E-16,1.794E-16
70126,83.3097,,,1.592E-16,,,
72536,86.1728,,,3.124E-17,,,
72686,86.3510,,,6.373E-16,,,
72805,86.4923,,,1.690E-16,,,
73709,87.5663,,,5.048E-16,,,
74205,88.1555,,,2.004E-17,,,
74828,88.8957,,,9.856E-16,,,
75298,89.4540,,,3.675E-17,,,
76537,90.9260,,,9.173E-16,,,
77089,91.5817,,,5.440E-16,,,
77627,92.2209,,,2.527E-16,,,
78035,92.7056,,,1.067E-16,,,
78885,93.7154,,,2.127E-17,,,
79898,94.9188,,,1.384E-15,,,
81485,96.8042,,,2.490E-17,,,
82059,97.4861,,,6.634E-16,,,
83376,99.0507,,,2.761E-17,,,
83383,99.0590,,2.744E-17,6.061E-17,,6.682E-17,
83865,99.6316,,,3.149E-17,,,
84085,99.8930,,1.243E-15,2.515E-15,1.460E-17,1.190E-15,2.545E-16
84572,100.4715,,5.005E-17,7.654E-17,,6.262E-17,
84776,100.7139,,,1.450E-16,,,
84994,100.9729,,2.433E-16,4.555E-16,,2.607E-16,7.143E-17
85149,101.1570,,,8.062E-16,,,
85467,101.5348,,9.384E-17,1.545E-16,,,
85666,101.7712,,5.175E-17,1.367E-16,,7.687E-17,
