Index,TimeStamp (s),Fe (g),La (g),Ce (g),Th (g),Nd (g),Pr (g)
19351,22.9890,,,1.278E-16,,,
19352,22.9902,,4.855E-17,,,,
19773,23.4903,,1.103E-16,2.177E-16,,1.106E-16,2.098E-17
19945,23.6947,,2.945E-17,6.919E-17,,,
20066,23.8384,,,7.889E-17,,,
20258,24.0665,,,3.099E-17,,,
20335,24.1580,,2.573E-17,4.194E-17,,,
20359,24.1865,,,2.069E-17,,,
20545,24.4075,,2.794E-17,5.303E-17,,4.123E-17,
21222,25.2117,,4.755E-17,1.213E-16,,,
22074,26.2239,,8.001E-17,1.313E-16,,7.034E-17,
22176,26.3451,,6.366E-17,1.181E-16,,,
22218,26.3950,,,3.818E-17,,,
22500,26.7300,,1.780E-16,4.326E-16,,,
22503,26.7336,,9.734E-17,2.026E-16,,,
22717,26.9878,,,9.509E-17,,,
22821,27.1113,,6.497E-17,2.307E-16,,,
22958,27.2741,,1.041E-16,1.405E-16,,,
23609,28.0475,,3.747E-16,7.876E-16,,4.412E-16,1.151E-16
23703,28.1592,,,5.170E-17,,,
24036,28.5548,,,4.493E-17,,,
24050,28.5714,,,3.800E-17,,,
25477,30.2667,,,3.658E-17,,,
26186,31.1090,,,2.602E-17,,,
27507,32.6783,,2.354E-17,4.209E-17,,,
27669,32.8708,,,3.493E-17,,,
27706,32.9147,,4.240E-16,8.855E-16,,4.635E-16,1.227E-16
27886,33.1286,,8.980E-17,8.844E-17,,6.142E-17,1.472E-17
28017,33.2842,,,2.027E-17,,,
28141,33.4315,,,2.282E-17,,,
28677,34.0683,,1.535E-16,3.936E-16,,,
29731,35.3204,,,2.839E-17,,,
29989,35.6269,,,,,,1.664E-17
30330,36.0320,,2.123E-16,4.446E-16,,,
30795,36.5845,,,2.568E-17,,,
30872,36.6759,,5.135E-17,1.561E-16,,,
30891,36.6985,,2.682E-17,3.757E-17,,4.458E-17,
31205,37.0715,,,3.141E-17,,,
31337,37.2284,,,9.749E-17,,,
31633,37.5800,,1.123E-16,2.486E-16,,,
31853,37.8414,,8.796E-17,2.227E-16,,6.837E-17,2.865E-17
32196,38.2488,,,3.380E-17,,,
32832,39.0044,,,3.261E-17,,,
33086,39.3062,,2.534E-17,6.019E-17,,,
33451,39.7398,,3.191E-16,5.798E-16,,2.755E-16,6.950E-17
33821,40.1793,,,2.059E-17,,,
34252,40.6914,,,2.253E-17,,,
34357,40.8161,,,3.541E-17,,,
34371,40.8327,,,1.211E-16,,,
34870,41.4256,,3.551E-16,1.077E-15,,,
35120,41.7226,,5.212E-15,1.095E-14,1.088E-16,6.394E-15,1.646E-15
35380,42.0314,,6.304E-17,1.074E-16,,,
