Index,TimeStamp (s),Fe (g),La (g),Ce (g),Th (g),Nd (g),Pr (g)
19367,23.0080,,,3.612E-17,,,
19414,23.0638,,,7.866E-16,,,
19541,23.2147,,4.340E-16,1.749E-15,,,
19680,23.3798,,,7.530E-16,,,
19776,23.4939,,,5.775E-15,,,
19802,23.5248,,,5.433E-17,,,
19914,23.6578,,,1.061E-16,,,
19927,23.6733,,,4.972E-17,,,
19957,23.7089,,,2.660E-16,,,
20041,23.8087,,,,,3.274E-17,
20377,24.2079,,1.333E-16,2.231E-16,,9.283E-17,1.739E-17
20419,24.2578,,,2.369E-16,,,
20454,24.2994,,,1.302E-15,,,
20484,24.3350,,1.006E-15,2.402E-15,1.936E-17,1.293E-15,2.631E-16
20710,24.6035,,2.465E-17,,,,
20960,24.9005,,,1.234E-16,,,
21054,25.0122,,,4.913E-16,,,
21145,25.1203,,,4.193E-15,,,
21180,25.1618,,,1.257E-16,,,
21281,25.2818,,,2.169E-17,,,
21382,25.4018,,5.505E-16,1.211E-15,,5.639E-16,1.400E-16
21464,25.4992,,,2.329E-16,,,
21470,25.5064,,,3.149E-17,,,
21483,25.5218,,,3.512E-16,,,
21567,25.6216,,,3.470E-17,,,
21898,26.0148,,,7.629E-17,,,
21945,26.0707,,,2.713E-17,,,
21970,26.1004,,,1.694E-16,,,
22179,26.3487,,4.178E-17,6.195E-17,,,
22205,26.3795,,,1.135E-16,,,
22404,26.6160,,,7.757E-17,,,
22543,26.7811,,,2.513E-17,,,
22690,26.9557,,,,,,
22714,26.9842,,,3.847E-17,,,
22867,27.1660,,,9.196E-17,,,
22977,27.2967,,,3.814E-17,,,
23091,27.4321,,,3.066E-16,,,
23194,27.5545,,3.031E-17,8.347E-17,,3.470E-17,
23365,27.7576,,,5.500E-16,,,
23422,27.8253,,,5.056E-17,,,
23437,27.8432,,,9.592E-16,,,
23625,28.0665,,1.158E-15,2.139E-15,,1.032E-15,3.486E-16
23634,28.0772,,,6.804E-17,,,
23798,28.2720,,,1.813E-16,,,
23899,28.3920,,,2.087E-16,,,
24132,28.6688,,,8.790E-16,,,
24370,28.9516,,,3.627E-16,,,
24521,29.1309,,,1.371E-15,,,
24807,29.4707,,,2.923E-16,,,
24997,29.6964,,,1.492E-16,,,
25024,29.7285,,,3.074E-17,,,
25124,29.8473,,,3.088E-17,,,
25203,29.9412,,,4.262E-17,,,
25350,30.1158,,,1.760E-16,,,
25363,30.1312,,,7.598E-16,,,
25518,30.3154,,,1.813E-16,,,
25544,30.3463,,,1.903E-16,,,
25566,30.3724,,,6.746E-17,,,
25723,30.5589,,,2.067E-16,,,
25766,30.6100,,6.159E-17,8.367E-17,,5.602E-17,
25768,30.6124,,,2.557E-17,,,
25872,30.7359,,,2.475E-16,,,
26319,31.2670,,,5.479E-16,,,
26368,31.3252,,,1.665E-16,,,
26518,31.5034,,,1.931E-16,,,
26532,31.5200,,,2.296E-17,,,
26552,31.5438,,,1.766E-16,,,
26601,31.6020,,1.683E-16,5.139E-16,,,
26840,31.8859,,,4.929E-16,,,
27005,32.0819,,,2.034E-16,,,
27106,32.2019,,,2.478E-17,,,
27111,32.2079,,,1.802E-16,,,
27147,32.2506,,,2.335E-16,,,
27278,32.4063,,,2.698E-17,,,
27382,32.5298,,6.336E-17,1.431E-16,,,
27441,32.5999,,,3.368E-16,,,
27460,32.6225,,,2.474E-17,,,
27465,32.6284,,,1.376E-16,,,
27797,33.0228,,,2.867E-16,,,
27807,33.0347,,,3.365E-16,,,
27812,33.0407,,,4.096E-16,,,
27882,33.1238,,,1.468E-16,,,
27890,33.1333,,,6.802E-16,,,
27920,33.1690,,1.090E-16,2.522E-16,,1.280E-16,3.587E-17
28282,33.5990,,9.738E-17,1.828E-16,,3.889E-17,
28338,33.6655,,,1.259E-16,,,
28475,33.8283,,,5.941E-16,,,
28498,33.8556,,,2.398E-16,,,
28663,34.0516,,,3.470E-17,,,
28817,34.2346,,,1.241E-16,,,
28998,34.4496,,,1.071E-16,,,
29092,34.5613,,,7.982E-16,,,
29319,34.8310,,,3.590E-17,,,
29515,35.0638,,,3.178E-16,,,
29718,35.3050,,,8.208E-17,,,
29742,35.3335,,,3.154E-16,,,
29875,35.4915,,,2.653E-17,,,
29899,35.5200,,9.550E-17,2.535E-16,,1.469E-16,3.381E-17
29929,35.5557,,7.654E-17,1.518E-16,,5.128E-17,2.651E-17
30001,35.6412,,,1.656E-16,,,
30006,35.6471,,,3.864E-16,,,
30180,35.8538,,5.881E-17,1.286E-16,,4.845E-17,1.539E-17
30183,35.8574,,,1.963E-16,,,
30315,36.0142,,,1.863E-16,,,
30336,36.0392,,,7.315E-17,,,
30345,36.0499,,,1.477E-16,,,
30361,36.0689,,,9.592E-16,,,
30425,36.1449,,,1.809E-16,,,
30538,36.2791,,,6.725E-17,,,
30693,36.4633,,,5.308E-16,,,
30781,36.5678,,,7.011E-16,,,
30802,36.5928,,,2.007E-15,,,
31088,36.9325,,,2.311E-16,,,
31153,37.0098,,2.714E-17,4.064E-17,,4.622E-17,
31176,37.0371,,,4.836E-16,,,
31394,37.2961,,,2.025E-15,,,
31440,37.3507,,,5.347E-17,,,
31575,37.5111,,,2.191E-17,,,
31785,37.7606,,,2.270E-17,,,
31914,37.9138,,,1.016E-16,,,
32003,38.0196,,,1.095E-16,,,
32198,38.2512,,,1.442E-16,,,
32295,38.3665,,,9.263E-17,,,
32339,38.4187,,,1.061E-16,,,
32419,38.5138,,2.830E-17,5.208E-17,,,
32483,38.5898,,,1.475E-16,,,
32488,38.5957,,,9.192E-16,,,
32503,38.6136,,,7.161E-16,,,
32596,38.7240,,,9.386E-16,,,
32630,38.7644,,,2.242E-17,,,
32985,39.1862,,3.877E-17,8.826E-17,,,
33098,39.3204,,,2.054E-16,,,
33114,39.3394,,,1.238E-16,,,
33132,39.3608,,,1.954E-16,,,
33344,39.6127,,,3.846E-17,,,
33368,39.6412,,,2.797E-17,,,
33521,39.8229,,4.123E-16,7.182E-16,,4.263E-16,9.300E-17
33654,39.9810,,2.919E-17,,,4.011E-17,
33658,39.9857,,,3.524E-15,,,
33684,40.0166,,,1.276E-16,,,
33786,40.1378,,,9.274E-17,,,
33865,40.2316,,,4.239E-16,,,
34062,40.4657,,,1.213E-16,,,
34068,40.4728,,2.533E-17,6.718E-17,,,
34074,40.4799,,,9.423E-17,,,
34109,40.5215,,,6.309E-16,,,
34201,40.6308,,,3.550E-17,,,
34214,40.6462,,,3.721E-16,,,
34275,40.7187,,2.789E-16,7.913E-16,,,
34286,40.7318,,,4.711E-16,,,
34376,40.8387,,,3.293E-17,,,
34436,40.9100,,,5.205E-16,,,
34627,41.1369,,2.628E-16,5.365E-16,,2.412E-16,6.728E-17
34705,41.2295,,,6.562E-16,,,
34821,41.3673,,,7.631E-16,,,
34866,41.4208,,,1.052E-15,,,
34971,41.5455,,,4.038E-16,,,
35002,41.5824,,,3.234E-17,,,
35124,41.7273,,,2.435E-17,,,
35148,41.7558,,,2.057E-15,,,
35188,41.8033,,,2.079E-16,,,
35240,41.8651,,,5.204E-17,,,
35350,41.9958,,,4.872E-16,,,
35511,42.1871,,,8.761E-17,,,
35515,42.1918,,,3.058E-17,,,
35527,42.2061,,,8.170E-16,,,
35661,42.3653,,,4.894E-16,,,
35667,42.3724,,,8.585E-17,,,
35815,42.5482,,,4.343E-16,,,
35877,42.6219,,,1.031E-16,,,
35964,42.7252,,,9.898E-16,,,
36231,43.0424,,,9.928E-17,,,
36435,43.2848,,,7.214E-17,,,
36470,43.3264,,,9.486E-16,,,
36555,43.4273,,,4.078E-16,,,
36558,43.4309,,,3.854E-16,,,
36596,43.4760,,,8.225E-17,,,
36628,43.5141,,4.668E-17,7.776E-17,,,
36729,43.6341,,,2.389E-17,,,
36946,43.8918,,,3.403E-17,,,
36955,43.9025,,,5.520E-16,,,
37019,43.9786,,,3.618E-17,,,
37278,44.2863,,,4.504E-17,,,
37387,44.4158,,,7.281E-17,,,
37405,44.4371,,,9.026E-17,,,
37505,44.5559,,,4.100E-17,,3.286E-17,
37670,44.7520,,1.301E-15,2.302E-15,2.233E-17,1.157E-15,3.397E-16
37755,44.8529,,,4.319E-15,,,
37827,44.9385,,,6.724E-17,,,
37872,44.9919,,,2.149E-17,,,
37905,45.0311,,,1.587E-16,,,
37985,45.1262,,,1.662E-16,,,
38110,45.2747,,,1.422E-16,,,
38148,45.3198,,,5.761E-17,,,
38184,45.3626,,,5.811E-16,,,
38200,45.3816,,,1.079E-15,,,
38785,46.0766,,,2.516E-17,,,
38791,46.0837,,,1.378E-16,,,
38954,46.2774,,,3.611E-16,,,
38992,46.3225,,,4.517E-16,,,
39063,46.4068,,6.690E-17,1.722E-16,,,2.152E-17
39317,46.7086,,2.831E-17,7.006E-17,,5.924E-17,
39392,46.7977,,,8.332E-17,,,
39405,46.8131,,,5.220E-17,,,
39417,46.8274,,,1.683E-15,,,
39444,46.8595,,,1.847E-16,,,
39496,46.9212,,,1.170E-16,,,
39729,47.1981,,,6.311E-16,,,
39804,47.2872,,,1.058E-16,,,
39989,47.5069,,,3.395E-17,,,
40018,47.5414,,,4.153E-16,,,
40236,47.8004,,,9.970E-16,,,
40253,47.8206,,,1.455E-15,,,
40398,47.9928,,,8.755E-17,,,
40470,48.0784,,,9.386E-16,,,
40561,48.1865,,7.399E-16,1.958E-15,,1.524E-16,2.997E-17
40577,48.2055,,,5.726E-16,,,
40619,48.2554,,,4.371E-17,,,
40748,48.4086,,,4.274E-17,,,
40931,48.6260,,,1.206E-15,,,
41209,48.9563,,,,,,
41247,49.0014,,,4.338E-16,,,
41310,49.0763,,,3.527E-17,,,
41321,49.0893,,,5.872E-16,,,
41334,49.1048,,1.361E-16,2.690E-16,,1.653E-16,3.588E-17
41436,49.2260,,,5.604E-16,,,
41462,49.2569,,,3.586E-17,,,
41467,49.2628,,,9.329E-16,,,
41492,49.2925,,,9.306E-17,,,
41588,49.4065,,,1.778E-16,,,
41644,49.4731,,,1.366E-16,,,
41698,49.5372,,,7.442E-16,,,
41786,49.6418,,,2.198E-16,,,
