Index,TimeStamp (s),Fe (g),La (g),Ce (g),Th (g),Nd (g),Pr (g)
19281,22.9058,,,2.568E-17,,,
19839,23.5687,,,1.074E-16,,,
20018,23.7814,,,2.079E-16,,,
20059,23.8301,,8.824E-17,1.119E-16,,3.634E-17,3.251E-17
20222,24.0237,,,2.543E-17,,,
20307,24.1247,,2.300E-17,6.373E-17,,,
20974,24.9171,,,4.064E-17,,,
21340,25.3519,,,3.142E-17,,,
21347,25.3602,,,2.331E-16,,,
21449,25.4814,,1.479E-16,2.238E-16,,,
21911,26.0303,,2.307E-17,3.559E-17,,,
21932,26.0552,,5.876E-17,9.036E-17,,,
21985,26.1182,,3.584E-16,7.506E-16,,,
22275,26.4627,,5.434E-17,,,,
22276,26.4639,,,1.009E-16,,,
22308,26.5019,,8.095E-16,1.401E-15,,6.665E-16,
22309,26.5031,,,,,,1.826E-16
22747,27.0234,,3.740E-17,6.972E-17,,4.956E-17,
22888,27.1909,,5.254E-16,1.058E-15,,5.357E-16,1.778E-16
22974,27.2931,,2.394E-17,4.899E-17,,,
23121,27.4677,,2.473E-16,4.664E-16,,2.423E-16,4.898E-17
23172,27.5283,,,2.732E-16,,,
23927,28.4253,,4.741E-17,4.779E-17,,,
24114,28.6474,,3.286E-17,3.719E-17,,,
24174,28.7187,,,1.525E-16,,,
24369,28.9504,,4.255E-16,8.348E-16,,3.706E-16,7.193E-17
25098,29.8164,,3.036E-17,6.950E-17,,,
25728,30.5649,,,2.990E-17,,,
25816,30.6694,,,2.870E-17,,,
26725,31.7493,,6.111E-16,1.105E-15,,5.658E-16,1.074E-16
27087,32.1794,,2.895E-17,,,,
27092,32.1853,,,7.811E-17,,5.276E-17,
27654,32.8530,,,6.286E-16,,2.455E-16,5.820E-17
27655,32.8541,,3.611E-16,,,,
28207,33.5099,,,4.522E-17,,,
28265,33.5788,,2.063E-15,3.012E-15,,,
28440,33.7867,,,8.852E-17,,,
29680,35.2598,,,3.198E-17,,,
29840,35.4499,,2.244E-16,3.911E-16,,,
29861,35.4749,,2.772E-17,6.027E-17,,,
30018,35.6614,,,2.923E-17,,,
30352,36.0582,,3.344E-17,1.223E-16,,,
30375,36.0855,,,5.059E-17,,,
30578,36.3267,,3.500E-17,6.250E-17,,,
30663,36.4276,,,3.727E-17,,,
32109,38.1455,,9.680E-17,2.496E-16,,9.060E-17,3.582E-17
32260,38.3249,,,5.923E-17,,,
32787,38.9510,,,2.147E-17,,,
33584,39.8978,,2.206E-16,4.876E-16,,,
33771,40.1199,,,4.427E-17,,,
33932,40.3112,,1.294E-16,2.300E-16,,1.380E-16,1.563E-17
34404,40.8720,,,2.443E-17,,,
34413,40.8826,,3.614E-17,5.680E-17,,,
34502,40.9884,,6.817E-17,1.381E-16,,5.200E-17,1.840E-17
34518,41.0074,,3.819E-17,5.006E-17,,,
34869,41.4244,,4.520E-17,7.837E-17,,4.437E-17,
35362,42.0101,,4.821E-16,1.465E-15,,,
35517,42.1942,,,2.990E-17,,,
36200,43.0056,,5.564E-17,7.849E-17,,,
36386,43.2266,,,9.100E-17,,,
36387,43.2278,,5.554E-17,,,,
36456,43.3097,,8.725E-17,1.688E-16,,,
37377,44.4039,,,2.303E-17,,,
37874,44.9943,,,9.436E-17,,,
37877,44.9979,,4.761E-16,2.092E-15,,,
39062,46.4057,,1.144E-15,2.547E-15,2.318E-17,1.278E-15,3.220E-16
39175,46.5399,,,3.486E-17,,,
39378,46.7811,,,1.968E-16,,,
40089,47.6257,,6.127E-17,1.951E-16,,,
40280,47.8526,,4.030E-16,5.175E-16,,,
40308,47.8859,,,3.332E-17,,,
40330,47.9120,,4.212E-17,8.073E-17,,,
40563,48.1888,,,5.117E-17,,,
40834,48.5108,,,3.037E-17,,,
41112,48.8411,,,5.028E-17,,,
41203,48.9492,,1.475E-15,2.847E-15,2.304E-17,1.538E-15,3.592E-16
41395,49.1773,,1.608E-16,3.898E-16,,2.369E-16,4.375E-17
41671,49.5051,,,2.644E-17,,,
42029,49.9305,,,2.059E-17,,,
42085,49.9970,,1.112E-16,1.835E-16,,,
42165,50.0920,,,2.968E-16,,,
42195,50.1277,,,7.028E-17,,,
42272,50.2191,,1.512E-16,4.376E-16,,,
42288,50.2381,,2.706E-16,4.707E-16,,2.190E-16,5.928E-17
42312,50.2667,,,2.994E-17,,,
42599,50.6076,,7.932E-17,2.072E-16,,,
42718,50.7490,,1.141E-16,1.041E-16,,,
42726,50.7585,,,4.509E-17,,,
42860,50.9177,,,3.382E-17,,,
43697,51.9120,,,3.957E-16,,,
43991,52.2613,,2.845E-17,8.600E-17,,,
44171,52.4751,,,3.955E-17,,,
44203,52.5132,,3.484E-17,5.290E-17,,,
45447,53.9910,,,3.263E-17,,,
45751,54.3522,,,6.337E-17,,,
